"Unit Code","Unit Name",Lecturer,Day,"Time Slot",Room
"CIM 410","Managing the IT Investment","Mrs Yvonne Mwajuma",Wednesday,17:00-19:00,"TB 9"
"CIS 304","Database Administration","Mrs Yvonne Mwajuma",Friday,15:00-17:00,"TB 2"
"CIS 212","Computer Networks Lab III","Dr  Titus Muhambe",Monday,11:00-13:00,"LAB VII"
"CCS 202","Computer Organization and architecture","Mrs Vivian Oloo",Monday,13:00-15:00,"TB 9"
"CIM 118","Computer Communication Theory","Dr  Titus Muhambe",Friday,11:00-13:00,"TB 9"
"CCT 108","Digital Logic Circuits","Dr Henry Okoyo",Wednesday,13:00-15:00,"TB 9"
"CIT 118","Computer Communication Theory","Dr  Titus Muhambe",Monday,09:00-11:00,"TB 7"
"CCT 304","Human Computer Interaction","Mr M O Adongo",Wednesday,11:00-13:00,"TB 9"
"CCS 212","Web Design and Publishing","Mr M O Adongo",Wednesday,17:00-19:00,"TB 6"
"CIS 214","IS Audit and Control","Mr Michael Wambwere",Thursday,11:00-13:00,"TB 6"
"CIS 402","Business Process Management","Mr Thomas Ojijo",Thursday,15:00-17:00,"TB 7"
"CIT 310","Information Assurance and Security II","Dr  Samuel Oonge",Wednesday,07:00-09:00,"TB 2"
"CCS 310","Computer Graphics","Dr Henry Okoyo",Wednesday,15:00-17:00,"TB 1"
"CCT 212","Automata Theory","Dr Lilian Wanzare",Wednesday,09:00-11:00,"TB 1"
"CIM 212","Security in Applications","Mr Michael Wambwere",Thursday,11:00-13:00,"TB 1"
"CIM 216","ICT Consultancy Project","Dr  Titus Muhambe",Tuesday,09:00-11:00,"TB 9"
"CCT 312","Embedded Computing Systems I","Dr James Obuhuma",Monday,11:00-13:00,"TB 9"
"CIT 104","Object Oriented Programming I","Mr Michael Wambwere",Tuesday,17:00-19:00,"TB 2"
"CCT 412","Computer Systems Engineering II","Dr Sylvester McOyowo",Tuesday,15:00-17:00,"TB 4"
"CCS 106","Discrete Structures II","Mr Michael Ondeja",Wednesday,11:00-13:00,"TB 9"
"CCS 414","Pattern Recognition","Mr John Konyino",Monday,15:00-17:00,"TB 6"
"CIS 206","Insurance and Risk Management","Mr Charles Awuor",Monday,07:00-09:00,"TB 8"
"CIM 214","Structured Programming Models","Mr Moses Wainaina",Wednesday,13:00-15:00,"TB 1"
"CCT 406","Computer Technology Project II","Mr M O Adongo",Monday,07:00-09:00,"TB 2"
"CCS 312","Mobile Computing","Mr John Alwala",Friday,11:00-13:00,"TB 4"
"CIT 406","Social and Professional Issues In IT","Mrs Maurine Awuor",Monday,13:00-15:00,"TB 2"
"CIT 408","IT and Development","Mr Moses Wainaina",Friday,17:00-19:00,"TB 8"
"CIS 414","Cloud Computing and Emerging Applications","Mr George Omuono",Wednesday,15:00-17:00,"TB 2"
"CIT 414","Cloud Computing and Emerging Applications","Mr George Omuono",Wednesday,09:00-11:00,"TB 6"
"CIS 120","Computer Based Information Systems Concepts","Dr  Titus Muhambe",Friday,13:00-15:00,"TB 8"
"CCT 308","Software Engineering","Dr Calvins Otieno",Friday,09:00-11:00,"TB 2"
"CCS 210","Automata Theory","Dr Lilian Wanzare",Monday,15:00-17:00,"TB 6"
"CIM 406","Change Management","Mr Thomas Ojijo",Monday,11:00-13:00,"TB 6"
